LID,Smiles
35,C1C(=O)C=C2CC[C@@H]3[C@@]([C@]2(C1)C)([C@H](C[C@]1([C@H]3CC[C@@]1(C(=O)CO)O)C)O)F
36,c1ccccc1CCCN1C[C@@H]([C@H]([C@@H](C1)O)O)CO
37,c1c2c(c(C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)c(=O)n(n2cc1)CCC(C)C)O
38,c1(c(ccc(c1)I)Nc1c(c(cc(c1F)F)OC)NS(=O)(=O)C1(CC1)C[C@@H](CO)O)F
39,N1C(=O)/C(=C\Nc2ccc(cc2)S(=O)(=O)N=C(N)N)/c2ccccc12
40,C1(=N[C@@H]([C@H]([C@@H]([C@H]1O)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)CO)NO
41,O=C(OCC)c1c(C)n(nc1C)c1c(Cl)cccc1
42,Clc1ccc2c(ccnc2c1)N[C@@H](CCCN(CC)CC)C
43,c1c2c3c(ccn3c(=O)cc2)cc1
44,Cc1cc(c(cc1Cl)N)S(=O)(=O)N1CCC[C@H]1C(=O)O
45,c1cc(Cl)ccc1NC(=S)OCCN1C(=O)c2ccccc2C1=O
46,c1(c(cccc1Cl)CN1CCC(CC1)COc1cccc2c1[C@H](N)N=C(N)N2)Cl
47,c1(ccc(cc1)Br)CO
48,O=N(=O)c1cc(c(cc1N(CCBr)CCBr)C(=O)NC[C@H](O)CO)N(=O)=O
49,c1(cc(ccc1)C)C(=O)N(CC)CC
50,N1(CCN(CC1)CCC(=O)c1cc(O)c(O)c(N(=O)=O)c1)c1cccc(c1)C(F)(F)F
51,[Fe]12345Oc6ccccc6[C@H]6[N@@]1[C@@H](CO6)C(=O)N[C@H](C(=O)OCCC(=O)N[C@H]1CCCC[N@@](O2)[C@H]1O3)CCCC[N@@](O4)[C@@H](O5)/C=C\CCCC=C=CC(=O)O
52,c12c(nc3ccccn13)c(NCCO)ncn2
53,NC(=N)c1cc(ccc1)CN1C(=O)CN(CC1)S(=O)(=O)c1cc2c(s1)cc(Cl)cc2
54,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
55,C(=O)(O)c1cc(N=C(N)N)c(NC(=O)C)cc1
56,O=C1Nc2ccccc2S[C@@H]1CC(=O)NO
57,[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CO)C1)O)O)O)N[C@H]1[C@@H]([C@H]([C@H](O[C@@H]1C)O[C@H]1[C@@H]([C@H]([C@H](O[C@@H]1CO)O[C@H]1[C@@H]([C@H]([C@@H](O)O[C@@H]1CO)O)O)O)O)O)O
58,O=C(C)c1ccccc1
59,c1(ccc(cc1)c1ccsc1)CO[C@H]([C@@H]([C@H]([C@@H](OCc1ccc(cc1)c1cscc1)C(=O)N[C@@H](C(C)C)C(=O)NC)O)O)C(=O)N[C@@H](C(C)C)C(=O)NC
60,CC(C[C@H](CN(C=O)O)C=O)C
61,[Fe]12345Oc6ccccc6[C@H]6[N@@]1[C@@H](CO6)C(=O)N[C@H](C(=O)O[C@@H](C)CC(=O)N[C@H]1CCCC[N@@](O2)[C@H]1O3)CCCC[N@@](O4)[C@@H](O5)/C=C\CCCC=C=CC(=O)O
62,[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O[C@@]1(CO)[C@H]([C@@H]([C@H](O1)C[C@@H](CCCCCCC)O)O)O
63,O=S(=O)(NCC1CC1)c1ccc(c(c1)Nc1oc(cn1)c1cc(ccc1)c1cnccc1)OC
64,C1(=O)[C@H]([C@@]2([C@@H]([C@H]([C@@H]([C@H]([C@H](/C=C/[C@H]([C@H](CCCC[C@@H](c3ccccc3)O1)OC)OC)C)O2)C)O)OC)O)C
65,CC[C@H](C(=O)O)N
66,s1c(ncc1)[C@H](CC)C
67,c1(C[C@H](OCC)C(=O)O)ccc(cc1)OCCc1ccc(cc1)OS(C)(O)O
68,C1(=C[C@H]2C(=C(C(=CO2)[C@H]2C=CC(=O)C=C2)O)C=C1)OC
69,N[C@@H](CCCNC(=N)C)C(=O)O
70,c1c2n(nc1)c(cc(n2)c1ccccc1F)NCc1ccncc1
71,Cc1cccc(c1Nc1c2cncn2c(cn1)c1ccccc1)C
72,[C@@H]12[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)N=C(CCC)S2
73,O=c1oc2c(O)c(O)ccc2c(c1)c1ccccc1
74,n1(c2c(c(=O)n(Cc3ccc(C(=O)O)cc3)c1=O)cc(cc2)C#CCc1ccccc1)C
75,c1cc(Nc2ccccc2C(=O)O)c(C)c(Cl)c1
76,n1(C)c(=O)nccc1N
77,COc(c1)cc(OC)cc1CN(C)c(c2)cnc(c23)nc(N)nc3N
78,C(=O)(C1=C[C@@H]([C@H]([C@H]([C@@H]([C@@H](CN)O)O)O1)NC(=O)C)O)O
79,C[N+](C)(C)C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@@H]1[C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)n(cn2)c(c23)ncnc3N
80,C1CN(C)CCN1Cc(cc2)ccc2C(=O)Nc3cc(ccc3)Nc(n4)nccc4-c5cccnc5
81,c1c(c(ccc1)S(O)O)c1ccccc1O
82,NC(=O)[C@@H]1C(=NS/C/1=N\C(=O)NCCCCN1CCCC1)OCc1c(F)cc(Br)cc1F
83,N([C@H](C=O)C1CCCCC1)C(=O)OC(C)(C)C
84,n1(cncc1)C[C@@]1(O[C@@H](CO1)COc1ccc(cc1)N1CCN(CC1)C(=O)C)c1c(cc(cc1)Cl)Cl
85,CCCCCCCCCCCCCCCCO[C@@H](CCCC/C=C/C)O
86,N[C@@H](C(=O)O)C(F)(F)F
87,c1ccccc1CCNc(c(Cl)c2C)nc(n2)-c3ccccn3
88,Cc1c(nc2c(c1C(=O)O)cc(cc2)F)c1ccc(cc1)c1c(cccc1)F
89,O=C(O)CCCCCCC[C@@H](/C=C/C=C\CCCCC)O
90,O=C(NOC[C@H](CO)O)c1cc(Br)c(F)c(F)c1Nc1c(F)cc(cc1)I
91,[nH]1cc(c(nc1=O)N)F
92,c1c(cccc1)c1c(c2ccc(cc2)F)n(CC[C@H](C[C@@H](O)CC(=O)O)O)c(c1C(=O)Nc1ccccc1)C(C)C
93,[S@@]1(=O)C[C@@H](CC1)CCCC
94,C(=O)(CC(=O)Nc1cc(c(c(c1)Br)Oc1ccc(c(c1)C(C)C)O)Br)O
95,c1(C)c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O
96,c1cc(ccc1OCC#CC)S(=O)(=O)CCCS
97,c1c(ccc(c1)Oc1ccc(cc1)S(=O)(=O)CC1(CCOCC1)C(=O)NO)Cl
98,C1CCNCCN1C(=O)c1cc(ccc1F)Cc1c2ccccc2c(=O)[nH]n1
99,[C@H]12CC[C@]3(C)[C@@H](O)[C@H](O)C[C@H]3[C@@H]1CCc1cc(O)ccc21
100,[C@H]1(O)C[C@H](O)C/C(=C/C=C/2\CCC[C@]3([C@H]2CC[C@@H]3[C@H](C)OCCC(C)(C)O)C)/C1=C
101,Brc1cc2ccc(OC)nc2cc1
102,N[C@@H](CCCNC(=S)N)C(=O)O
103,c1cccc(c1)Oc1ccc(cc1)S(=O)(=O)C1(CC(=O)NO)CCOCC1
104,C1(=NCN=C2C1=CC=N2)c1cn(C2(CN(S(=O)(=O)CC)C2)CC#N)nc1
105,c1(c(C)nc(N)nc1N)C#C[C@@H](c1cc(c2ccc(C)cc2)cc(OC)c1)C
106,[C@H]1(C[C@@H]([C@H]([C@@H](O1)[C@@H]([C@@H](COC=O)O)OC)NC(=O)C)N=C(N)N)C(=O)O
107,c1(nnc(c(c2ccncc2)c1)c1cc2c(cc1)cccc2)N1C[C@H](Cc2ccccc2)NCC1
108,N1=C(O)C(C)(C)Nc(c12)nc(N)[nH]c2=O
109,C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C
110,C1NC(=O)N(CC=C1)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO
111,[C@H]1(NCc2ccccc2)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1SC
112,O[P@@](=O)([C@@H](CCc1ccccc1)N)C[C@H](C(=O)O)Cc1ccccc1
113,O=c1nc(N)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
114,N1CSC[C@H]1C(=O)O
115,[P@@](=O)(O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)O[P@@](=O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1CC(=C(C=C1)[C@H](C)[C@@H](O)CC)C(=O)N
116,[P@](=O)(O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)O[P@](=O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=C(C(=O)N)[C@H](C=C1)[C@H]1C(=O)CCCC1
117,c1ccccc1Cc1sc(nc1)N
118,OC[C@H]1O[C@@H](n2c3nc(F)[nH]c(=N)c3nc2)C[C@@H]1O
119,n1c[nH]c2c(c1=O)ncn2[C@H]1[C@H](O)[C@H](O)[C@H](O1)CO
120,Clc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1C(=O)O)Br
121,c1(cc2CC(=Nc2s1)C(=O)N[C@H]1Cc2c(N(C1=O)CC(=O)N)cccc2)Cl
122,[C@H]1(C(=O)c2c(cc(cc2O1)O)O)Cc1c(c(c(c(c1)Br)O)Br)O
123,C1(=NC2=NC=N[C@@H]2C(=N1)OCC1CCCCC1)Nc1cccc(c1)Cl
124,Brc1cnc(cc1)NC(=O)N[C@H]1C[C@H]1c1c(F)ccc(c1O)C(=O)CC
125,c1cc(O)cc2O[C@H]3C=C(O)C=CC3=C(c12)/C=C/C(=O)O
126,c1(cc2c(cc1)n(cn2)c1cc(C)ccc1)N
127,c1(CNC(C(=O)O)(C)C)c(COP(=O)(O)O)cnc(C)c1O
128,FC(F)(F)c1ccc(cc1)O[C@@H](CCNC)c1ccccc1
129,Clc1ccc(cc1)[C@H](CCO)NC(=O)[C@]1(CCN(CC1)c1ncnc2c1CC=N2)N
130,O=C1C=CC=C2[C@@H]1C(=O)c1c(C2=O)cc2c(c1O)[C@H](C[C@]([C@@H]2O)(O)CC)O[C@H]1C[C@H](N(C)C)[C@@H]([C@@H](O1)C)O[C@H]1C[C@H](O)[C@H]([C@@H](O1)C)O[C@@H]1O[C@H](C)C(=O)CC1
131,C1C[C@@H](CC2=CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1[C@@](C)(CCCC(C)C)O)C)O
132,c1c(cc(O)c2c1OC([C@H]1[C@H]2C=C(CC1)C)(C)C)CCCCC
133,C(c1ccc(cc1)C[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)C)Cc1ccccc1)(F)(F)P(=O)(O)O
134,c1(ccc(cc1O)C)C(C)C
135,C1Oc2c(cc(c3nnc(SCc4ccc(c(F)c4)OC)o3)cc2)O1
136,O=C(NO)C[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)OCC)C)CC(C)C)CC(C)C
137,Clc1ccccc1c1oc(cc1)C(=O)N=N
138,N#Cc1ccccc1c1c(=O)n(cc(c1)c1ncccc1)c1ccccc1
139,C1Oc2c(C(=N[C@@H]1COc1ccc3CCNCc3c1)N)scc2
140,c1ccccc1Nc(n(c23)ncc2)nc(n3)Nc4ccccc4
141,n1c2c(c(nc1N1CCN(CC1)C(=O)c1occc1)N)cc(OC)c(OC)c2
142,[C@]12([C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)NC(=O)N(C2=O)C
143,c1c(c(OC)cc2c(ncnc12)N1C[C@@H](CC1)Oc1ccc2ccccc2c1)OC
144,C1CCCCC1Nc2nc(nc(c23)[nH]cn3)Nc4ccc(cc4)N5CCOCC5
145,C(C)([C@@]1(SC(=NC1=O)N[C@H](c1ccc(cc1)F)C)C)(O)C
146,n1cnc2c(c1N)ncn2[C@H]1[C@H](O)[C@H](OP(=O)(O)O)[C@H](O1)CO[P@](=O)(O)O[P@](=O)(O)OCC(C)(C)[C@H](O)C(=O)NCCC(=O)NCCSC(=O)CCc1cc(c(c(c1)OC)O)OC
147,O=C1NCCC2=c3c1cc(F)cc3=N[C@H]2c1ccc(cc1)CNC
148,O[C@H]1C[C@@H]2[C@@H](C1)[C@@H](CCC(=O)O[C@H](CCC/C=C/2)C)O
149,NCCNc1cc(c2ccc[nH]2)c2C(=O)Nc3ccc(F)c1c23
150,O=P(O)(O)COCCn1cnc2c1ncnc2N
151,N1(CC[C@](CN)(CC1)Cc1ccc(Cl)cc1)c1ncnc2N=CCc12
152,C1C[N@H+](C)CC[C@@H]1c(n2)n(CCC)c(c2-c3cc(Cl)c(Cl)cc3)-c4ccnc(n4)NC5CC5
153,O=C(Nc1sc(Sc2ncccc2)cn1)NCc1nc(c[nH]1)c1ccc(cc1)OCC(=O)O
154,Nc1ncccc1NCc1cccc(c1)C1=C[C@@H]2C(=CC=N2)C=C1
155,Clc1ccc(cc1)[C@H](CN)CC(=O)O
156,n1cc(cc(c2ccc(cc2)S(=O)(=O)C)c1c1ccc(C)nc1)Cl
157,[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CO[V](O)(O)O)O1)O)O)O)OP(=O)(O)O
158,CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
159,C(=O)([C@@H]1CN(Cc2ccc(cc2)F)CCN1)NCCS
160,FC(F)(F)c1ccc(cc1)NC(=O)C(C)(C)CCl
161,Fc1ccc(cc1)C(=O)c1ccncc1
162,c1(ccc(cc1)c1nc2c(ccc(c2)c2nc3c(ccc(c3)N3CCN(CC3)C)[nH]2)[nH]1)N(C)C
163,c1(cc(c(cc1)F)[C@@H]1CN([C@@H](C1)c1ccccc1)C(=O)N(C)C)F
164,C[C@]12CCc3c4ccc(O)cc4ccc3[C@@H]1CC[C@@]2(C)O
165,C1CCCCN1CCOc1ccc(cc1)[C@H]1N(CCc2c1ccc(c2)O)c1ccccc1
166,Fc1c(OC(C)C)ccc(c1)CC[C@]1(CC(=CC(=O)O1)O)C1CCCC1
167,c1(ccccn1)NS(=O)(=O)c1ccc(cc1)/N=N/c1cc(c(cc1)O)C(=O)O
168,N1C(=O)[C@@H](c2c3c(ccc12)ncs3)/N=N/c1ccc(cc1)CS(=O)(=O)NC
169,N[C@H](C(=O)O)CCCNC(=N)NCCC
170,O[C@@](C)(CCC1=C(C)C(=O)C(=C(C1=O)C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
171,C(=O)(C[C@@H](CC(C)C)C(=O)N[C@H](C(=O)NC)Cc1ccccc1)NO
172,N=C(N)c1cc2cc(ccc2cc1)Cn1c(C)nc2ccc(cc12)O[C@@H]1CCN(CC1)[C@H](N)C
173,CC(C)n(cn1)c(c12)nc(NCCO)nc2Nc3cc(Cl)ccc3
174,C12=CCC=CC1=NN=C2c1ccncc1
175,c1nc(ccc1)C(CNc1c(=O)n(c(cn1)Cl)CCNCc1ccc(N)nc1C)(F)F
176,c1cc(cc(c1)c1nc(CCCC(=O)O)on1)N(=O)=O
177,O[C@H]1C=CC[C@H]2O[C@H]3C[C@H]4O[C@H]5C=CC=CO[C@@H]5[C@@H](O)[C@@H]4O[C@@H]3C=C[C@@H]2O[C@@H]1CO
178,OC[C@H]1O[C@@H](n2cnc3c(ncnc23)N)[C@H](O)[C@H]1O
179,c1(ccc(cc1)/C=C/C(=O)OCC)S(=O)(=O)N
180,NC(=C)C(=O)O
181,c1cc2ccccc2cc1C[C@H](C(=O)O)C[C@@H](N)C(=O)O
182,CCNC(=O)[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O1)n(cn2)c(c23)nc(nc3NCC(c4ccccc4)c5ccccc5)C(=O)NCCNC(=O)NC6CCN(CC6)c7ccccn7
183,CCN(C(=S)S)CC
184,Cc1cc(cc(c1O)C)CCc1ccccc1
185,c1(ccccc1)C(=O)[C@]1([C@@H]2CC[C@@H](C2)[C@H]1c1ccccc1)N
186,O=C(N1CCOCC1)CCC(=O)Nc1ccc(Br)cc1C(=O)N1C[C@@H](C)C[C@H](C1)C
187,N1(C(=O)c2c(cccc2)C1=O)CC[C@@H](CC(=O)c1ccc(cc1)c1ccc(cc1)OCC)C(=O)O
188,Nc1nc(=O)c2nn(nc2[nH]1)c1cccc(c1)C(=O)NCc1cc(Cl)cc(Cl)c1
189,Brc1cnc(cc1)NC(=O)CCC(=O)O
190,Clc1cccc(Cl)c1Cn1cc(nc1C)c1ccnc(n1)N
191,c12c(c([C@H](C[C@H](C)O)c3ccccc3)c(=O)oc2cccc1)O
192,C1(=C(C=C[C@H](C1=O)C(=O)C)OCCCOc1ccc(cc1)OCC(=O)O)CCC
193,c1(c(n(nc1CC)CCO)CC)Oc1cc(cc(c1)C#N)C#N
194,c1cc(ccc1)COC(=O)N[C@H](C(=O)N[C@H](C(=O)COC)CC(C)C)CC(C)C
195,c1cc(c(cc1C(=N)N)CN1C(=O)[C@H](CC1)NS(=O)(=O)c1cc2c(cccn2)s1)O
196,C(=O)CC[C@H](N)C(=O)O
197,c1(c2C=CC(=O)c2ccc1)N(=O)=O
198,c1ccc(c(c1)F)N
199,N1C(=O)CC2=c3c(=N[C@H]2c2c1cccc2)ccc(c3)N(=O)=O
200,c1cc(N(=O)=O)ccc1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CS[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O
201,C1(=O)c2c(cc(c(c2CC(=O)CCC/C=C\CCO1)Cl)O)O
202,n1c(C)nc(N)c(c1)C
203,c1cc(C)ccc1C1=NO[C@@]2(C1)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O
204,O=C(N)Cc1ccc(cc1)O/C=C(\O)/CNC(C)C
205,c1ccccc1C1=C(N=C2[C@H]1C=C(S(=O)(=O)N)C=C2)C(=O)NN
206,O=C1[C@]2(O)CCN(c3ccccc3)[C@H]2Nc2c1c(ccc2)C
207,c1ccc(c2nc(CCOc3ccc(c4c3ccs4)C[C@H]3C(=O)NC(=O)S3)c(C)o2)cc1
208,Nc1nc(c(Br)c(=O)[nH]1)c1ccccc1
209,N1=NC(=O)c2c(C1=O)c(cc(c2)N)N
210,c1n(cnc1C(=O)N)[C@@H](CO)CCc1ccccc1
211,c1(cc(c2O[C@@H](c3ccc(O)cc3)[C@@H]3[C@H](c2c1)CC(F)(F)C3)COC)O
212,c1ccccc1[C@@H](NC1=NCc2c(c(c3cc(CCCO)cc(c3)Cl)no2)C1)C
213,c1(nc(nc(c1c1ccc2c(c1)N(C(=O)C(O2)(C)C)CCNC(=O)C)CC)N)N
214,c1ccc2CN3c4ccccc4N4[Fe]3(Oc2c1)Oc1c(C4)cccc1
215,C(=O)(O)c1c(cc(cc1)O)O
216,n1c(C)nc(N)c(c1)C
217,c1cc(O)cc2CC[C@@H]3[C@@H](c12)CC[C@]1([C@H]3C[C@@H]([C@@H]1O)CCCCCCCCC(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2ncnc(c2nc1)N)O)O)C
218,Nc1ccc(cc1)S(=O)(=O)NC(=O)c1ccccc1
219,CCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](N)[C@H]1O[C@H]1C[C@@H]([C@@H]([C@@H](O1)C)O)O
220,CCCCNc(cc(n1)C)n(c12)nc(n2)Nc(c3C)cc(Cl)cc3
221,n1(c(=O)c2c(n(c1=O)C)[nH]c(n2)N)C
222,[C@]12(CCC(=O)C(=C1c1ccc(O)cc1C2)Br)CCCC
223,Clc1cc(cc(Cl)c1O)c1cc(Cl)c(O)c(Cl)c1
224,OC(=O)[C@]1(O)C/C(=N\O)/[C@@H](O)[C@H](O)C1
225,S(O)(O)c1ccc(cc1)OC
226,N[C@@H](C(=O)N1[C@H](C(=O)NCc2cccc(c2)Cl)CCC1)Cc1ccccc1
227,c1cc(N(=O)=O)ccc1OP(=O)(O)Oc1ccc(N(=O)=O)cc1
228,c1(c(cccc1F)N)C
229,[P@@](=O)(O)(OC/C=C(/CCC[C@H](CCCC(C)C)C)\C(F)(F)F)OP(=O)(O)O
230,[C@@H]12[C@@H](OC[C@@H]1OC(=O)N[C@@H](Cc1ccc(cc1)OCc1nc(sc1)C)[C@@H](CN(S(=O)(=O)c1cc3c(cc1)OCO3)CC(C)C)O)OCC2
231,CN1c2nc(N)[nH]c(=O)c2N(C)C1
232,C(=O)(CNC1CCCCC1)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)CCC1
233,COc(c1)ccc(OC)c1Cc(n2)[nH]c(c23)nc(F)nc3N
234,O=C1CC[C@@H](O[C@@H]1C)O[C@H]1[C@H](C)O[C@@H](C[C@@H]1O)O[C@@H]1[C@H](C)O[C@H](C[C@@H]1N(C)C)O[C@H]1C[C@](O)(CC)Cc2c1c(c1c(c2)C(=O)c2cccc(c2C1=O)O)O
235,n1(ncc2c(=O)nc([nH]c12)[C@@H]1CN(C[C@H]1C)Cc1ncccn1)C1CCOCC1
236,N[C@H](C(=O)N)Cc1ccc(cc1)O
237,NOCCCCN(C)C[C@H]1O[C@@H](n2c3ncnc(N)c3nc2C=C)[C@H](O)[C@@H]1O
238,COc1ccccc1c1oc(cc1)C(=O)O
239,CNCc1ccccc1c1cccs1
240,c1c(cc(cc1F)N)F
241,O=C(O)c1cccc(c1)/N=N/C1=C(N)N=N[C@@H]1N
242,C#Cc1cc(Nc2c3cc(OCCOC)c(OCCOC)cc3ncn2)ccc1
243,CN(C(=O)CCN1Cc2cc(C(=O)c3ccccc3)ccc2N[C@@H]1N)C1CCCCC1
244,C1N=C2OC(=C([C@H]2C(=N1)NCCO)c1ccccc1)c1ccccc1
245,c1(ccccc1)CO[C@H]([C@@H]([C@H]([C@@H](OCc1ccccc1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NC)O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NC
246,P(=O)(=O)O[C@@H]1[C@H]([C@H](n2c3ncnc(N)c3nc2)OC1)O
247,c1cc(Cl)ccc1c1oc(cc1)C[C@@H]1C(=O)N(C(=S)S1)CCC(=O)O
248,CCCCCN
249,O=C(c1sccc1)Nc1sc2c(CCCC2)c1C(=O)N(CC)CC
250,O1COc(c12)ccc(c2)Oc3ccnc(n3)Oc(cc4)ccc4-n5ccnc5
251,FC1(F)CCC(C(=O)N[C@@H](CCN2[C@H]3C[C@@H](n4c(C(C)C)nnc4C)C[C@@H]2CC3)c2ccccc2)CC1
252,O=S(=O)(N)c1ccc(cc1)c1oc(cc1)C[C@H]1SC(=NC1=O)N
253,O=C(Nc1ccncc1)OCCCNS(=O)(=O)c1ccc(C)cc1
254,NCc1cnc(nc1N)C
255,c12=C(/C(=C\3/C(=O)Nc4c3ccc(c4)Br)/N=c1cccc2)NO
256,O=C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
257,c1(cc(cc(c1)Cl)Cl)Cl
258,OC(=O)c1ns[nH]c1=O
259,n1(c(=O)[nH]c(=O)cc1)[C@H]1[C@@H]2O[V](O[C@@H]2[C@H](O1)CO)(O)(O)O
260,N[C@@H](c1ccccc1)c1ccc(cc1)c1ncnc2[nH]cnc12
261,c1cc(O)ccc1C1=C([C@H]2O[C@@H]1[C@@H](C(=O)OCC)[C@H]2C(=O)OCC)c1ccc(O)cc1
262,[P@](=O)(O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O[P@@](=O)(O)O[C@@H]1[C@@H](COP(=O)(O)O)O[C@H](C1)n1ccc(=O)[nH]c1=O
263,c1(ccc2-c([nH]1)cc(n2)c1cc(CC(=O)O)cc(c1O)c1cccc(N(=O)=O)c1)N
264,COc1ccc(OC)cc1Cc1nc2c(N)nc(nc2n1CCCC)F
265,OCc1scc(n1)c1cc(ccc1)Nc1ncnc2c1cc(OCC)c(c2)OCC
266,c1c(cc(cc1F)S(=O)(=O)N)F
